id,name,address,info
223,らくだのせなか鹿島エブリア店,福島県いわき市鹿島町米田日渡5番地鹿島エブリア店2階プレビプレイランド,開催なし
224,ドリームファクトリーいわき,福島県いわき市中央台飯野4-1,開催なし
225,THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティピボット内,開催なし
226,ゲームプラザAGS郡山店,福島県郡山市西ノ内2-11-40イトーヨーカドー郡山店4階（連絡先は母体代表）,開催なし
227,GiGO白河,福島県白河市新高山1-1 メガステージ白河内,開催なし
228,GiGO福島,福島県福島市本内字中井1-2,開催なし
229,GiGO小名浜,福島県いわき市小名浜林城字塚前18-1,開催なし
230,GiGO日和田,福島県郡山市日和田町字西中島7-1,開催なし
231,GiGO勿来,福島県いわき市勿来町四沢字鍵田13,開催なし
232,ソユーエンターテイメントスタジオ 須賀川店,福島県須賀川市古河105番地　イオンタウン須賀川B棟内,開催なし
233,ソユーゲームフィールドいわき小名浜店,福島県いわき市小名浜字辰巳町79番地　イオンモールいわき小名浜3階,開催なし
234,"ｎａｍｃｏイオンタウン郡山店★メザスタシティ★
",福島県郡山市松木町２－８８　イオンタウン郡山,開催なし
235,ｎａｍｃｏ郡山西部プラザ店,福島県郡山市西ノ内２丁目１１－３５　西部プラザ内,開催なし
236,スイーツファクトリーパックン会津若松店,福島県会津若松市幕内南町9番10号アピタ会津若松店2F,開催なし
237,タイトーＦステーション郡山オリエントパーク店,福島県郡山市安積町荒井字大久保35-1,開催なし
238,スーパーノバ会津インター店,福島県会津若松市町北町大字上荒久田字宮下142,開催なし
239,スーパーノバ福島店,福島県福島市黒岩字中島7-2,開催なし
240,モーリーファンタジー白河西郷,福島県西白河郡西郷村大字小田倉字岩下１１－１イオン２階　,開催なし
241,モーリーファンタジーいわき小名浜,福島県いわき市小名浜港背後地土地区画整理事業地内イオンモールいわき小名浜店内　４階　,開催なし
242,モーリーファンタジーいわき,福島県いわき市平字三倉６８－１イオン３階　,開催なし
243,モーリーファンタジー福島,福島県福島市南矢野目字西荒田５０番地の１７イオン３階　,開催なし
244,モーリーファンタジー鏡石,福島県岩瀬郡鏡石町桜岡３７５－９ＳｕＣ１階　,開催なし
245,ＰＡＬＯ喜多方,福島県喜多方市字押切南２－４２－１１階　,開催なし
246,イトーヨーカドー福島,福島県福島市太田町１３－４　玩具売場,開催なし
247,イトーヨーカドー郡山,福島県郡山市西ノ内２－１１－４０　玩具売場,開催なし
248,トイザらス福島,福島県福島市森合字清水７　　コープマートいずみ２Ｆ,開催なし
249,ヨドバシカメラ郡山駅前,福島県郡山市駅前１－１６－７　玩具売場,開催なし
250,トイザらス郡山,福島県郡山市松木町2-88　イオンタウン郡山内,開催なし
251,トイザらスいわき,福島県いわき市平谷川瀬3丁目23－10　ヨークタウン谷川瀬1F,開催なし
252,モーリーファンタジー南相馬,福島県南相馬市原町区大木戸字金場77,開催なし
253,モーリーファンタジーベイシア白河,福島県白河市字老久保28,開催なし
254,ユーズランド水戸内原店,茨城県水戸市内原2-1イオンモール水戸内原2F,開催なし
255,ゲームメガみらい平店,茨城県つくばみらい市陽光台1-14-1,開催なし
256,ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1,開催なし
257,ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1,開催なし
258,ピンクパンサー土浦店,茨城県土浦市木田余4585-3,開催なし
259,ゲームメガ日立店,茨城県日立市東多賀町5-10-10,開催なし
260,ゲオひたちなか高場店,茨城県ひたちなか市高場1140番地1,開催なし
261,GiGO日立,茨城県日立市田尻町3-26-1,開催なし
262,GiGO龍ヶ崎,茨城県龍ケ崎市藤ケ丘4-2-8,開催なし
263,GiGO水戸南,茨城県水戸市千波町2017-1　1F,開催なし
264,GiGO石岡,茨城県石岡市東大橋中峯1976-1,開催なし
265,ソユートイズニューヨーク 守谷店,茨城県守谷市百合ヶ丘三丁目249番1　イオンタウン守谷2F,開催なし
266,スコナランド行方,茨城県行方市麻生3288-50セイミヤモール麻生店　1F,開催なし
267,ジャングルパーク笠間店,茨城県笠間市赤坂8番地笠間SCポレポレシティ 1F,開催なし
268,ジョイフル本田ニューポートひたちなかアミューズパーク,茨城県ひたちなか市新光町34-1 ジョイフル本田ニューポートひたちなか1F,開催なし
269,"ｎａｍｃｏ　ｉｉａｓつくば店★メザスタシティ★
",茨城県つくば市研究学園５丁目１９番地　ｉｉａｓつくば店２Ｆ２１９０,開催なし
270,ｎａｍｃｏイオンモールつくば店,茨城県つくば市稲岡６６－１　イオンモールつくば店３Ｆ,開催なし
